Participant,Age,Gender,Occupation,OccupGroup,OtherLgs,Education,EduTotal,ReadEng1,ReadEng2,ReadEng3,ReadEng,Active,ObjCl,ObjRel,Passive,Postmod,Q.has,Q.is,Locative,SubCl,SubRel,GrammarR,Grammar,VocabR,Vocab,CollocR,Colloc,Blocks,ART,LgAnalysis,Group,NativeLg,EdNative,EdUK,EduYrsNat,EduYrsEng,FirstExp,Arrival,LoR,EngWork,EngPrivate,ReadOth1,ReadOth2,ReadOth3,ReadOth,UseEngC,NativeLgFamily
126,29,M,Policeman,C,None,National Diploma,13,2,2,3,7,8,8,8,8,8,8,8,8,8,8,80,100,52,82.22222222,35,84.375,24,3,4,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,55,F,Retired,I,None,Nvq,13,4,4,2,10,8,8,8,8,8,8,8,8,8,8,80,100,54,86.66666667,32,75,9,12,3,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,18,F,Student,PS,None,A Levels,13,2,2,1,5,8,7,7,7,7,8,2,8,8,7,69,72.5,33,40,28,62.5,16,0,7,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,32,M,Factory Worker,M,None,Gnvq,13,1,1,0,2,8,7,8,8,8,8,8,8,8,8,79,97.5,54,86.66666667,26,56.25,22,7,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,31,M,Warehouse Operative,M,None,National Diploma,15,3,3,4,10,8,7,8,7,8,7,8,8,8,8,77,92.5,47,71.11111111,34,81.25,20,7,9,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,20,M,Customer Service Advisor,C,None,As Level,12,5,5,1,11,8,7,8,7,8,7,8,8,8,8,77,92.5,36,46.66666667,19,34.375,17,3,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,38,F,Housewife,I,None,Nvq,14,4,3,2,9,8,7,6,7,8,6,6,8,8,8,72,80,44,64.44444444,30,68.75,10,6,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,44,F,Shop Assistant,M,None,Gcse,11,1,1,2,4,8,8,8,8,7,5,8,7,7,8,74,85,42,60,26,56.25,19,9,10,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,18,M,Student,PS,None,Gcse (Currently Re-Sitting),12,1,1,1,3,8,8,7,8,8,7,8,8,8,8,78,95,25,22.22222222,13,15.625,20,1,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202c,17,M,Student,PS,None,Student,13,1,1,2,4,8,6,8,8,8,0,8,8,8,8,70,75,44,64.44444444,22,43.75,16,0,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203c,17,F,Student,PS,None,Student,13,1,1,3,5,8,8,8,8,7,8,3,8,8,8,74,85,37,48.88888889,19,34.375,9,5,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204c,17,F,Student,PS,None,Student,13,1,1,1,3,8,8,8,8,7,8,0,8,8,8,71,77.5,34,42.22222222,20,37.5,8,5,3,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206c,17,M,Student,PS,None,Student,13,1,1,3,5,8,6,4,8,6,4,4,8,6,8,62,55,42,60,25,53.125,16,4,4,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
