ID;L3;Years of L3;Gender;L3 selfasses;L3 grade;L2 selfasses;L2 grade;V2Non-SU-I-1;V2Non-SU-I-2 ;V2Non-SU-I-3;V2Non-SU-I-4;V2Non-SU-I-5;V2Non-SU-I-6;V2SU-I-1 ;V2SU-I-2;V2SU-I-3;V2SU-I-4;V2SU-I-5;V2SU-I-6;V3Non-SU-I-1;V3Non-SU-I-2;V3Non-SU-I-3;V3Non-SU-I-4;V3Non-SU-I-5;V3Non-SU-I-6;V3SU-I-1;V3SU-I-2;V3SU-I-3;V3SU-I-4;V3SU-I-5;V3SU-I-6
NODI785;1;3;2;2,5;5;5;5;1;2;2;1;1;1;2;2;3;2;2;3;2;4;3;4;3;3;4;3;4;4;4;3
KKAY797;1;3;2;2;6;6;6;1;2;2;2;2;2;2;1;2;2;2;2,5;3;3;3;3;3,5;3;3;4;3,5;3,5;4;2,5
UMEL353;1;3;1;3;4;6;4;1;2;2;1;2;1;2;2;3;2;4;3;4;3;3;4;4;4;4;1;4;4;4;4
ÅKRI462;1;3;2;4;5;6;6;2;2;1;2;2;3;2;1;2;2;3;3;2;4;4;4;4;4;4;3;4;4;4;4
EBOA368;1;3;2;2;4;6;4;1;2;1;1;2;1;2;2;2;2;2;2;2;4;4;4;3;3;3;4;3;3;3;3
SINO816;1;3;1;4;4;6;5;2;1;1;4;2;1;2;2;2;2;2;3;4;3;3;4;4;4;4;2;4;3;4;3
UANN761;1;3;2;3;5;6;5;1;2;2;2;2;2;3;2;2;3;3;3;2;4;3;4;3;4;4;1;4;4;4;4
NKRI327;1;3;1;3;3;5,5;5;1;1;1;1;1;1;2;2;1;1;1;1;2;4;3;1;3;4;4;4;4;3;4;4
NGUR353;1;3;1;1,5;3;4,5;3;2;2;2;1;2;2;2;2;2;2;2;2;3;4;4;4;4;4;4;2;4;3;4;4
NTOE644;1;3;1;3,5;5;6;5;1;1;1;1;1;1;2;3;2;2;2;2;2;4;4;4;4;4;4;2;4;3;4;4
SKJM997;1;3;2;2;3;6;4;2;2;1;2;1;1;2;1;2;2;2;3;2;3;4;4;3;3;3;2;3;3;4;3
NBEN870;1;3;2;2;3;6;4;1;2;2;1;1;2;1;1;1;1;2;1;3;3;2;3;2;3;4;1;2;4;3;3
ÅLEE001;1;3;1;2;4;6;5;1;1;1;2;2;2;2;2;1;4;1;1;4;4;4;4;4;3;3;4;3;4;4;4
LELJ326;1;3;1;2;3;4,5;4;1;2;2;3;1;2;2;2;2;3;2;2;3;3;3;4;3;3;3;4;3;3;4;4
BLON640;1;3;2;2;5;6;4;1;2;1;2;2;3;2;3;3;2;;3;3;4;2;4;3;4;3;;3;2;4;3
CGUO981;1;3;2;2;5;5;4;1;2;1;2;2;1;2;3;2;2;;3;3;4;3;4;3;3;4;;3;4;4;4
SMAM566;1;3;2;3,5;4;4,5;4,5;2;2;2;2;2;2;4;2;2;2;3;2;3;4;3;4;3;4;4;2;4;3;4;3
CBRI676;1;3;2;2;5;4;4;1;1;1;2;1;1;3;2;2;1;2;3;3;4;3;4;4;3;4;4;4;4;4;4
CHEN678;1;3;2;3;6;4;4;1;1;1;1;2;2;2;2;1;2;2;2;3;4;3;4;3;3;2;3;3;3;4;4
CBIN181;1;3;2;1,5;5;3,5;5;2;2;2;2;2;2;2;3;1,5;2;2;2;2;3;3;3,5;3;3;3;2;3;3;3;3
BKRI116;1;3;2;4;6;6;5;2;2;2;2;1;2;2;3;3;2;2;2;3;4;4;4;4;4;4;2;4;4;4;4
NMEO167;1;3;2;3;4;5;5;1;3;2;3;3;3;2;3;2;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4
LMOI225;1;3;1;2;5;4;4;2;2;2;2;1;2;2;4;2;2;3;2;4;4;4;4;3;4;3;1;4;4;4;3
LMAI025;1;3;2;3;5;6;6;1;1;1;1;1;1;1;2;1;1;1;1;3;3;3;3;3;4;4;4;2;3;4;4
SVIO979;1;3;1;2;3;5;5;1;1;1;1;1;1;1;2;1;1;1;2;2;4;2;2;1;3;3;1;2;3;3;3
CMAH322;1;3;2;2;4;6;5;2;2;2;2;2;2;3;2;2;2;2;3;4;3;3;3;3;3;4;2;4;3;4;3
BCAA697;1;3;2;2;6;6;4;1;2;2;4;1;2;2;2;2;2;1;3;2;4;4;4;4;4;4;4;4;4;4;4
BLIH320;1;2;2;2;4;4;4;3;2;1;2;3;2;2;3;2;2;3;3;2;4;4;4;3;4;4;3;3;4;4;4
BLII215;1;3;2;3,5;6;6;6;1;2;2;2;2;2;2;2;2;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4
BMAO634;1;3;2;2;4;4;4;2;2;2;4;2;1;3;2;1;2;3;3;3;4;3;4;3;4;4;4;3;4;4;4
GANI032;1;1;1;4;3;6;4;1;1;2;2;1;1;2;2;2;3;2;2;4;4;4;4;4;4;4;2;4;4;4;4
GLIO382;1;1;1;2,5;4;5;5;2;3;3;2;2;4;4;2;4;3;2;4;3;4;4;4;4;4;4;4;4;4;4;3
GMOL223;1;1;2;2;4;3;3;1;2;1;2;2;2;3;1;2;2;2;2;3;4;3;3;3;2;4;1;4;4;4;3
GSIN867;1;2;2;2;4;3;4;2;2;2;2;3;2;3;3;3;3;3;3;2;4;3;4;4;4;4;2;3;4;4;3
KBEH684;1;2;1;2;3;4;4;1;1;1;1;1;1;2;2;1;1;1;2;3;4;2;4;3;4;4;1;2;3;4;3
LINN720;1;3;1;3;4;6;5;2;2;2;2;2;2;2;2;2;2;2;2;3;3;4;4;4;3;3;4;4;3;4;4
MINN947;1;2;2;2;4;5,5;5;1;2;2;2;1;2;3;2;2;1;2;2;2;3;3;3;3;3;2;3;3;3;3;3
MLER776;1;1;2;1;2;4;3;2;1;1;1;2;1;4;2;4;1;1;1;3;4;1;1;1;3;4;1;3;1;4;4
NAKA113;1;3;2;2;4;6;6;1;2;2;2;2;2;1;2;2;2;2;2;3;4;2;4;4;4;3;4;4;4;4;4
NELL517;1;3;1;3;4;5;5;1;2;1;2;2;3;1;1;2;2;2;2;4;4;3;4;4;4;4;4;3;4;4;4
NKJR511;1;3;2;3;5;5;5;1;1;1;1;1;1;3;2;2;2;3;2;3;4;3;3;3;4;4;4;4;4;4;4
OEVI423;1;2;;1;4;6;5;1;1;1;4;1;1;1;2;1;1;1;1;2;4;4;4;4;4;3;4;2;4;4;3
OLAA285;1;4;2;4;4;6;4;1;1;2;1;2;1;2;3;4;1;3;3;3;3;2;4;3;4;4;1;;2;4;3
SINS311;1;3;1;2,5;4;6;4;1;1;1;1;1;1;1;1;1;1;1;1;2;4;4;3;4;3;3;4;4;4;2;4
SKAA913;1;1;2;3;5;5,5;6;1;1;1;1;1;1;1;1;1;1;2;1;3;4;2;3;1;3;3;1;3;3,5;4;3
SMAL180;1;1;2;3;3;4;4;1;4;1;1;1;2;4;3;2;1;3;4;1;4;4;4;4;3;4;3;3;3;4;2
SMAL420;1;3;1;2,5;4;6;5;1;2;2;4;1;4;2;2;1;2;1;3;3;4;3;2;3;3;3;2;3;4;4;4
SMOE243;1;1;1;1;2;5;4;1;1;1;1;1;1;2;2;1;1;3;1;3;4;4;4;4;4;3;3;4;3;4;3
TLIO806;1;3;1;2;3;6;6;1;1;2;2;2;2;1;2;2;2;2;2;3;3;3;3;4;3;3;4;4;3;4;3
