language	subject	disambiguation	item	crit1	crit2	crit3	AoO	age
F	f22	2	11	0.881355504	0.942119084	1.584962501	12.00	20.00
F	f22	1	12	0.387023123	1.584962501	0.432111013	12.00	20.00
F	f22	2	13	-0.351472371	1.584962501	-0.648156327	12.00	20.00
F	f22	1	14	1.584962501	1.584962501	1.584962501	12.00	20.00
F	f22	2	15	1.584962501	0.547487795	1.584962501	12.00	20.00
F	f22	1	16	-0.160464672	1.584962501	-0.334419039	12.00	20.00
F	f3	1	1	1.584962501	1.584962501	1.584962501	13.00	20.00
F	f3	2	2	1.584962501	0.485426827	1.584962501	13.00	20.00
F	f3	1	3	-0.465663572	-0.910732662	-0.149377624	13.00	20.00
F	f3	2	4	0.222392421	-1.584962501	0.454565863	13.00	20.00
F	f3	1	5	1.064130337	0.277109591	0.893084796	13.00	20.00
F	f3	2	6	-0.141554144	-0.872994723	-0.461331152	13.00	20.00
F	f3	1	7	-1.584962501	-1.019365325	-1.584962501	13.00	20.00
F	f3	2	8	-1.584962501	-1.078002512	-1.584962501	13.00	20.00
F	f3	1	9	-0.269760269	1.584962501	-0.660513534	13.00	20.00
F	f3	2	10	-1.584962501	1.500693584	-1.584962501	13.00	20.00
F	f3	1	11	1.584962501	0.584962501	1.584962501	13.00	20.00
F	f3	2	12	1.584962501	1.019365325	1.584962501	13.00	20.00
F	f3	1	13	-0.101640262	-0.558490289	0.057715498	13.00	20.00
F	f3	2	14	1.584962501	1.584962501	1.584962501	13.00	20.00
F	f3	1	15	-1.584962501	-0.639118271	-1.584962501	13.00	20.00
F	f3	2	16	-0.974313356	-0.277109591	-0.736965594	13.00	20.00
F	f4	2	1	-0.041222663	-1.584962501	0.485426827	11.00	19.00
F	f4	1	2	0.817135943	0.679821687	1.378511623	11.00	19.00
F	f4	2	3	-0.225881407	1.099535674	0.461331152	11.00	19.00
F	f4	1	4	0.096215315	1.584962501	-0.645335119	11.00	19.00
F	f4	2	5	-1.191298652	-0.298081353	-1.584962501	11.00	19.00
F	f4	1	6	-1.178337241	-0.485426827	-1.584962501	11.00	19.00
F	f4	2	7	0.206450877	-0.244733589	0.9510904	11.00	19.00
F	f4	1	8	0.597673552	0.862496476	0.445139531	11.00	19.00
F	f4	2	9	-0.417920008	1.584962501	-0.289506617	11.00	19.00
F	f4	1	10	-0.946981618	-0.788495895	-1.229133999	11.00	19.00
F	f4	2	11	0	0	0	11.00	19.00
F	f4	1	12	-1.054447784	-0.454565863	-1.584962501	11.00	19.00
F	f4	2	13	0.614108846	-1.584962501	0.235378063	11.00	19.00
F	f4	1	14	1.584962501	1.584962501	1.584962501	11.00	19.00
F	f4	2	15	-0.144389909	-1.057947349	0.381870635	11.00	19.00
F	f4	1	16	0.498453507	-1.584962501	0.553935605	11.00	19.00
F	f5	1	1	-1.194647431	0.135351853	-1.584962501	10.00	21.00
F	f5	2	2	-1.584962501	-1.146078259	-1.584962501	10.00	21.00
F	f5	1	3	1.584962501	1.584962501	1.584962501	10.00	21.00
F	f5	2	4	1.584962501	0.175086707	1.584962501	10.00	21.00
F	f5	1	5	-1.253756592	0.90202484	-1.584962501	10.00	21.00
F	f5	2	6	0	0	0	10.00	21.00
F	f5	1	7	1.215389034	1.119298928	1.584962501	10.00	21.00
F	f5	2	8	1.30256277	0.649312912	1.584962501	10.00	21.00
F	f5	1	9	1.584962501	0.503432615	1.584962501	10.00	21.00
F	f5	2	10	-0.602664502	0.649312912	-0.932885804	10.00	21.00
F	f5	1	11	-0.708537186	1.584962501	-1.584962501	10.00	21.00
F	f5	2	12	-0.751501687	0.135351853	-1.372809264	10.00	21.00
F	f5	1	13	-1.23349013	-1.584962501	-0.96829114	10.00	21.00
F	f5	2	14	-0.230483834	-1.049468676	-0.462971976	10.00	21.00
F	f5	1	15	1.584962501	0.810029056	1.584962501	10.00	21.00
F	f5	2	16	-1.326360341	-0.027221469	-1.173648087	10.00	21.00
F	f6	2	1	1.289506617	1.584962501	1.584962501	12.00	19.00
F	f6	1	2	0.712197689	0	0.986824611	12.00	19.00
F	f6	2	3	-0.55055247	-0.251538767	-0.75576319	12.00	19.00
F	f6	1	4	-0.636187824	0.376148486	-1.584962501	12.00	19.00
F	f6	2	5	1.584962501	-0.792195115	1.584962501	12.00	19.00
F	f6	1	6	0.763559804	-0.255257055	0.432111013	12.00	19.00
F	f6	2	7	1.105353	0.177396251	1.584962501	12.00	19.00
F	f6	1	8	1.143965774	-0.330473204	1.584962501	12.00	19.00
F	f6	2	9	1.264827688	1.584962501	1.584962501	12.00	19.00
F	f6	1	10	1.584962501	-0.40053793	1.584962501	12.00	19.00
F	f6	2	11	0.180572246	0.30718151	0.334419039	12.00	19.00
F	f6	1	12	-0.371094152	1.584962501	-1.584962501	12.00	19.00
F	f6	2	13	-0.406625259	1.264827688	-0.373043411	12.00	19.00
F	f6	1	14	0.451379346	-0.500898236	0.874469118	12.00	19.00
F	f6	2	15	0.111031312	1.584962501	-0.255257055	12.00	19.00
F	f6	1	16	-1.584962501	1.109624491	-1.584962501	12.00	19.00
F	f7	1	1	-0.352671618	1.584962501	-0.584962501	14.00	20.00
F	f7	2	2	-1.584962501	-0.575860294	-1.584962501	14.00	20.00
F	f7	1	3	0.485426827	1.584962501	0.736965594	14.00	20.00
F	f7	2	4	-1.346450414	-1.112894056	-1.584962501	14.00	20.00
F	f7	1	5	1.584962501	-0.272620455	1.584962501	14.00	20.00
F	f7	2	6	0.893084796	-0.519028231	1.348895142	14.00	20.00
F	f7	1	7	1.584962501	0.872994723	1.584962501	14.00	20.00
F	f7	2	8	1.267480311	0.903492019	1.584962501	14.00	20.00
F	f7	1	9	-0.859822342	-1.584962501	-1.259386629	14.00	20.00
